Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
INDEL B;IT0005245508;INDB;Euronext Milan;EUR;23.20;23.60;23.20;23.60;08/03/2024 17:35;CET;222;5172.40;23.60;08/03/2024
INDUSTRIE DE NORA;IT0005186371;DNR;Euronext Milan;EUR;14.80;14.80;14.36;14.36;08/03/2024 17:36;CET;152623;2208555.87;14.36;08/03/2024
INTERCOS;IT0005455875;ICOS;Euronext Milan;EUR;13.62;13.92;13.48;13.74;08/03/2024 17:35;CET;46485;638102.08;13.74;08/03/2024
INTERPUMP GROUP;IT0001078911;IP;Euronext Milan;EUR;43.92;44.69;43.75;44.20;08/03/2024 17:35;CET;129388;5718895.67;44.20;08/03/2024
INTESA SANPAOLO;IT0000072618;ISP;Euronext Milan;EUR;30.955;3.105;3.081;31.025;08/03/2024 17:37;CET;71254598;2.206.634.746.795;31.025;08/03/2024
INWIT;IT0005090300;INW;Euronext Milan;EUR;10.52;10.535;10.26;10.405;08/03/2024 17:35;CET;2460563;25590493.96;10.405;08/03/2024
IRCE;IT0001077780;IRC;Euronext Milan;EUR;1.855;1.895;1.78;1.87;08/03/2024 17:21;CET;15519;28277.31;1.87;08/03/2024
IREN;IT0003027817;IRE;Euronext Milan;EUR;1.928;1.959;1.917;1.95;08/03/2024 17:35;CET;1674186;3.253.939.565;1.95;08/03/2024
IT WAY;IT0003057624;ITW;Euronext Milan;EUR;1.536;1.554;1.53;1.532;08/03/2024 17:28;CET;15016;23.115.246;1.538;08/03/2024
ITALGAS;IT0005211237;IG;Euronext Milan;EUR;5.31;5.36;5.275;5.35;08/03/2024 17:35;CET;3562288;18.991.322.955;5.35;08/03/2024
ITALIAN DESIGN;IT0005543480;IDB;Euronext Milan;EUR;9.57;9.73;9.45;9.58;08/03/2024 17:35;CET;15099;144879.55;9.58;08/03/2024
ITALIAN EXHIBITION;IT0003411417;IEG;Euronext Milan;EUR;4.90;4.95;4.90;4.91;08/03/2024 17:35;CET;12504;61700.39;4.91;08/03/2024
ITALMOBILIARE;IT0005253205;ITM;Euronext Milan;EUR;30.50;33.80;30.50;33.60;08/03/2024 17:35;CET;174475;5678448.80;33.60;08/03/2024
IVECO GROUP;NL0015000LU4;IVG;Euronext Milan;EUR;12.25;12.67;12.195;12.255;08/03/2024 17:35;CET;3458397;43174145.08;12.255;08/03/2024
IVS GROUP;LU0556041001;IVS;Euronext Milan;EUR;5.90;5.96;5.78;5.96;08/03/2024 17:35;CET;43295;254146.24;5.96;08/03/2024
JUVENTUS FC;IT0005572778;JUVE;Euronext Milan;EUR;2.605;2.82;2.587;2.82;08/03/2024 17:35;CET;2811812;75.959.982.495;2.82;08/03/2024
KME GROUP;IT0004552359;KME;Euronext Milan;EUR;0.909;0.913;0.903;0.904;08/03/2024 17:35;CET;21179;19.242.479;0.904;08/03/2024
KME GROUP RSP;IT0004552367;KMER;Euronext Milan;EUR;1.30;1.33;1.28;1.30;08/03/2024 16:16;CET;8031;10490.13;1.30;08/03/2024
LANDI RENZO;IT0004210289;LNDR;Euronext Milan;EUR;0.401;0.4065;0.40;0.40;08/03/2024 17:35;CET;195747;786.098.035;0.40;08/03/2024
